symbol,name,price,assets,avg_vol,ytd,inverse,leveraged,week1,week4,year1,year3,year5,etfdb,inception,er,commission_free,annual_dividend_rate,dividend_date,dividend,annual_dividend_yield,p_e_ratio,beta,holdings,top_10,l_bollinger,u_bollinger,support1,resistance1,rsi,day_200,cap_gains,lt_cap_gains,tax_form,liquidity,expenses,performance,volatility,score_dividend,concentration,overall
VAW,Vanguard Materials ETF,105.86,1442643.2,99274,13.84%,No,No,1.76%,-1.76%,21.72%,18.40%,77.40%,Materials,2004-01-26,0.12%,Vanguard,$1.93,2016-09-20,$0.52,1.81%,21.80,-1.34,122,47.95%,$102.75,$110.28,$105.62,$106.27,48,17.10%,35%,15%,1099,A-,A+,A-,A,A-,A,A+
FXZ,First Trust Materials AlphaDEX Fund,33.86,327168.1,149166,21.44%,No,No,2.24%,-1.76%,24.02%,19.62%,93.02%,Materials,2007-05-08,0.70%,Not Available,$0.40,2016-09-21,$0.08,1.17%,16.35,-1.59,51,33.41%,$32.67,$35.42,$33.76,$34.05,50,17.29%,35%,15%,1099,A,C,A,B+,A-,B,B+
XOP,SPDR S&P Oil & Gas Exploration & Production ETF,36.15,2009038.4,14694762,20.47%,No,No,0.06%,-2.74%,8.01%,-42.75%,-15.41%,Energy Equities,2006-06-19,0.35%,Not Available,$0.38,2016-09-16,$0.08,1.03%,37.26,2.72,60,23.45%,$35.42,$38.60,$35.50,$37.08,49,33.29%,35%,15%,1099,A,A-,B+,C+,C+,A-,B+
IEO,iShares U.S. Oil & Gas Exploration & Production ETF,58.55,341715,139182,11.28%,No,No,-0.05%,-1.93%,4.44%,-22.33%,15.12%,Energy Equities,2006-05-01,0.43%,Not Available,$0.89,2016-06-21,$0.17,1.48%,10.62,2.28,55,58.66%,$57.54,$61.45,$57.72,$59.74,49,27.99%,35%,15%,1099,B+,B+,A-,B+,C,A-,B+
PYZ,PowerShares DWA Basic Materials Momentum Portfolio ETF,57.08,192625,18434,17.49%,No,No,4.29%,-0.42%,26.09%,26.73%,112.39%,Materials,2006-10-12,0.60%,Not Available,$0.56,2016-09-16,$0.09,0.98%,23.66,-2.25,32,41.45%,$53.85,$59.57,$56.79,$57.55,50,23.34%,35%,15%,1099,B+,B-,A,A-,B-,B+,B
PXE,PowerShares Dynamic Energy Exploration & Production Portfolio ETF,20.97,62923.5,15958,2.35%,No,No,-0.38%,-0.33%,-3.22%,-22.86%,24.14%,Energy Equities,2005-10-26,0.64%,Not Available,$1.58,2016-09-16,$0.07,7.41%,32.70,2.08,34,45.55%,$20.66,$21.73,$20.73,$21.27,51,27.23%,35%,15%,1099,B,C+,A+,B+,C+,B-,B
RYE,Guggenheim S&P 500 Equal Weight Energy ETF,56.97,226590,32663,22.39%,No,No,0.51%,-1.51%,13.53%,-21.40%,13.38%,Energy Equities,2006-11-01,0.40%,Charles Schwab,$0.92,2016-09-16,$0.24,1.59%,12.34,2.34,38,31.13%,$55.70,$59.68,$56.30,$57.91,50,27.63%,35%,15%,1099,B,B+,A-,A-,B+,B,A-
IYM,iShares U.S. Basic Materials ETF,78.13,589800,122037,11.54%,No,No,1.49%,-2.41%,20.88%,9.65%,45.65%,Materials,2000-06-12,0.43%,Not Available,$1.39,2016-06-21,$0.31,1.77%,18.73,-1.40,53,64.49%,$75.94,$82.11,$77.91,$78.55,46,18.12%,35%,15%,1099,A,B,B+,A-,B,B+,A-
PXI,PowerShares DWA Energy Momentum Portfolio ETF,38.14,126336,12495,14.46%,No,No,-0.10%,-5.00%,4.91%,-21.34%,22.54%,Energy Equities,2006-10-12,0.60%,Not Available,$0.42,2016-09-16,$0.13,1.06%,509.76,2.97,36,43.70%,$37.43,$41.86,$37.56,$39.11,46,35.71%,35%,15%,1099,C+,B-,A,B+,B-,B+,B
QCLN,First Trust NASDAQ Clean Edge Green Energy Index Fund,14.91,53250,9729,-5.99%,No,No,2.83%,-0.38%,5.32%,-4.37%,50.44%,Alternative Energy Equities,2007-02-08,0.60%,Not Available,$0.22,2016-09-21,$0.08,1.43%,17.12,-1.53,42,57.10%,$14.34,$15.22,$14.87,$14.99,52,20.09%,35%,15%,1099,A,A,A+,B,B,B+,A
FCG,First Trust ISE-Revere Natural Gas Index Fund,25.16,244238.6,905306,14.54%,No,No,0.19%,-3.31%,-14.82%,-71.56%,-67.74%,Energy Equities,2007-05-08,0.60%,Not Available,$0.31,2016-09-21,$0.02,1.19%,29.51,2.42,36,56.99%,$24.68,$27.00,$24.76,$25.77,48,29.17%,35%,15%,1099,A,B-,C+,C,A-,C,C+
XES,SPDR S&P Oil & Gas Equipment & Services ETF,17.03,218871,416274,-2.26%,No,No,1.31%,-4.82%,-8.38%,-58.17%,-40.71%,Energy Equities,2006-06-19,0.35%,Not Available,$0.21,2016-09-16,$0.03,1.21%,11.44,-3.21,35,39.54%,$16.50,$18.30,$16.79,$17.48,45,41.12%,35%,15%,1099,A-,A-,A,C+,B,B,B+
FXN,First Trust Energy AlphaDEX Fund,14.57,1472873.5,1064092,6.12%,No,No,0.38%,-2.11%,-0.66%,-33.63%,-10.07%,Energy Equities,2007-05-08,0.67%,Not Available,$0.20,2016-09-21,$0.05,1.34%,10.61,2.45,55,33.39%,$14.27,$15.34,$14.38,$14.85,48,31.27%,35%,15%,1099,A-,C,B+,B-,B-,B+,B-
OIH,VanEck Vectors Oil Services ETF,26.65,794757.9,4636549,0.76%,No,No,-0.19%,-6.20%,-4.60%,-40.59%,-22.30%,Energy Equities,2011-12-20,0.35%,Not Available,$0.63,2015-12-21,$0.63,2.30%,7.88,-2.68,25,74.67%,$26.23,$28.84,$26.33,$27.29,43,34.50%,35%,15%,1099,A,A-,B+,B,B+,C,B+
ENY,Guggenheim Canadian Energy Income ETF,8.56,30466.6,10782,28.23%,No,No,1.66%,-2.73%,16.17%,-35.80%,-32.40%,Energy Equities,2007-07-03,0.71%,Not Available,$0.27,2016-06-24,$0.07,3.11%,34.90,2.10,31,52.11%,$8.30,$9.05,$8.53,$8.62,48,24.72%,35%,15%,1099,B-,C,C+,B+,A,B-,C+
IEZ,iShares U.S. Oil Equipment & Services ETF,36.45,211649,52617,2.52%,No,No,0.94%,-4.71%,-3.12%,-39.78%,-16.48%,Energy Equities,2006-05-01,0.43%,Not Available,$0.62,2016-06-21,$0.10,1.67%,15.74,-2.61,38,65.83%,$35.60,$38.88,$36.07,$37.21,45,34.31%,35%,15%,1099,B+,B,A-,B,B,B+,B+
PXJ,PowerShares Dynamic Oil & Gas Services Portfolio ETF,10.44,38556,14951,-11.46%,No,No,1.46%,-3.87%,-17.65%,-56.81%,-38.13%,Energy Equities,2005-10-26,0.61%,Not Available,$0.17,2016-06-17,$0.03,1.54%,9.64,-3.25,31,45.43%,$10.07,$11.17,$10.33,$10.66,44,39.94%,35%,15%,1099,B-,C+,A,B,C+,C+,C+
XME,SPDR S&P Metals & Mining ETF,26.28,786026.8,4954412,77.63%,No,No,7.35%,1.02%,54.04%,-26.57%,-38.66%,Commodity Producers Equities,2006-06-19,0.35%,Not Available,$0.39,2016-09-16,$0.07,1.47%,22.52,-3.36,24,49.81%,$23.96,$27.37,$26.03,$26.66,51,39.32%,35%,15%,1099,A,A+,B+,B,B,B,A
DIG,Ultra Oil & Gas ETF,35.12,141731.8,146751,18.62%,No,2x,0.18%,-5.69%,11.49%,-41.91%,9.04%,Leveraged Equities,2007-01-30,0.95%,Not Available,$0.49,2016-09-21,$0.10,1.35%,32.66,3.50,91,157.16%,$34.15,$39.00,$34.46,$36.10,46,40.29%,35%,15%,1099,A-,C,C,B,n/a,n/a,B
UYM,Ultra Basic Materials ETF,43.19,51218.2,7765,19.89%,No,2x,3.54%,-4.63%,39.17%,6.27%,65.86%,Leveraged Equities,2007-01-30,0.95%,Not Available,$0.28,2016-09-21,$0.07,0.65%,18.80,-2.71,64,141.64%,$40.52,$47.59,$43.03,$43.33,46,36.22%,35%,15%,1099,B,C,C+,B+,n/a,n/a,B
ERX,Direxion Daily Energy Bull 3x Shares ETF,29.46,506715,3340402,25.74%,No,3x,0.48%,-7.12%,8.63%,-61.93%,-8.57%,Leveraged Equities,2008-11-06,0.95%,Not Available,n/a,2010-06-22,$0.05,0.07%,31.87,5.38,17,310.75%,$28.20,$34.01,$28.59,$30.70,47,60.77%,35%,15%,1099,A,C,C,C,n/a,n/a,C+
REM,iShares Mortgage Real Estate Capped ETF,10.83,1265418,1464471,19.67%,No,No,2.85%,1.59%,12.18%,26.86%,57.26%,Real Estate,2007-05-01,0.48%,Not Available,$1.09,2016-06-21,$0.27,9.99%,6.35,1.42,38,68.46%,$10.46,$10.98,$10.80,$10.88,56,13.08%,35%,15%,1099,A,B,C,C,A+,B,B
REZ,iShares Residential Real Estate Capped ETF,67.20,475203,61240,8.52%,No,No,4.93%,2.47%,18.46%,51.71%,103.13%,Real Estate,2007-05-01,0.48%,Not Available,$2.57,2016-06-21,$0.56,3.84%,19.38,-1.58,44,63.58%,$63.18,$67.97,$66.45,$67.73,55,15.07%,35%,15%,1099,B+,B-,A-,A-,A-,B,A
FTY,iShares Real Estate 50 ETF,51.86,77475,6737,11.71%,No,No,4.45%,1.35%,21.83%,44.36%,96.63%,Real Estate,2007-05-01,0.48%,Not Available,$1.89,2016-06-21,$0.42,3.66%,37.52,-1.54,52,45.56%,$49.00,$52.92,$51.67,$51.99,54,14.26%,35%,15%,1099,B-,B,B-,A,B,B+,B+
IYR,iShares U.S. Real Estate ETF,82.70,4892250,7992577,12.47%,No,No,4.18%,1.16%,20.99%,42.02%,95.34%,Real Estate,2000-06-12,0.43%,Fidelity,$3.25,2016-06-21,$0.72,3.93%,17.28,-1.55,118,35.28%,$78.34,$84.59,$81.44,$84.16,54,14.03%,35%,15%,1099,A+,B,B-,A,B+,A,A
VNQ,Vanguard REIT ETF,88.53,35613484.8,4095891,14.07%,No,No,4.19%,1.09%,22.97%,48.06%,110.08%,Real Estate,2004-09-23,0.12%,2 Platforms,$4.13,2016-09-13,$0.60,4.68%,36.50,-1.58,152,34.74%,$83.80,$90.55,$87.60,$89.14,54,14.73%,35%,15%,1099,A,A,A-,B+,A-,A,A+
FRI,First Trust S&P REIT Index Fund,24.70,380688,228008,13.60%,No,No,4.26%,1.03%,22.26%,46.11%,105.89%,Real Estate,2007-05-08,0.50%,Not Available,$0.60,2016-09-21,$0.09,2.44%,30.11,-1.57,155,34.86%,$23.38,$25.27,$24.48,$24.85,54,14.82%,35%,15%,1099,A,B-,A-,B+,C,A,A-
RWR,SPDR Dow Jones REIT ETF,99.47,3841787.2,289475,11.52%,No,No,4.23%,0.97%,21.09%,47.83%,106.98%,Real Estate,2001-04-23,0.25%,TD Ameritrade,$3.53,2016-09-16,$0.77,3.55%,31.26,-1.56,99,42.61%,$94.18,$101.76,$98.43,$100.19,54,14.85%,35%,15%,1099,A-,A,B,A-,B+,A-,A
ICF,iShares Cohen & Steers REIT ETF,107.77,4239691.6,234883,10.59%,No,No,4.17%,1.17%,21.31%,50.35%,103.96%,Real Estate,2001-01-29,0.35%,Not Available,$3.69,2016-06-21,$0.77,3.43%,21.19,-1.54,32,55.44%,$102.11,$109.89,$106.61,$108.57,53,14.78%,35%,15%,1099,A-,A-,C+,B,C+,B-,B-
URE,Ultra Real Estate ETF,128.11,214211.5,41846,23.09%,No,2x,8.42%,1.79%,41.06%,84.85%,225.33%,Leveraged Real Estate,2007-01-30,0.95%,Not Available,$1.10,2016-09-21,$0.04,0.86%,32.72,-3.13,130,156.26%,$114.87,$134.35,$125.70,$129.71,53,28.17%,35%,15%,1099,B+,B-,A-,A-,n/a,n/a,A
PSR,PowerShares Active U.S. Real Estate Fund,80.92,28234.5,1102,12.64%,No,No,4.43%,1.30%,20.80%,44.72%,97.91%,Real Estate,2008-11-20,0.80%,Not Available,$1.80,2016-09-16,$0.32,2.23%,40.98,-1.48,51,45.52%,$76.53,$82.50,$80.92,$80.92,56,14.03%,35%,15%,1099,C+,C,B+,A,C,B+,C+
SHY,iShares 1-3 Year Treasury Bond ETF,85.03,11002320,1570588,0.96%,No,No,0.01%,0.17%,0.50%,1.94%,2.46%,Government Bonds,2002-07-22,0.15%,2 Platforms,$0.31,2016-09-01,$0.05,0.36%,n/a,-0.08,73,38.48%,$84.91,$85.05,$85.00,$85.05,52,0.99%,35%,15%,1099,A,B,A,A+,C,B+,A-
SHV,iShares Short Treasury Bond ETF,110.44,3477915.2,847789,0.23%,No,No,0.05%,0.05%,0.19%,0.23%,0.27%,Money Market,2007-01-05,0.15%,Not Available,$0.07,2016-06-01,$0.03,0.07%,n/a,0.03,34,4.25%,$110.33,$110.42,$110.42,$110.45,59,0.25%,35%,15%,1099,A,A,B+,A+,B-,B-,A-
BSV,Short-Term Bond ETF,80.82,18823652.8,1451480,2.55%,No,No,0.12%,0.27%,2.10%,5.05%,7.00%,Total Bond Market,2007-04-03,0.10%,3 Platforms,$1.13,2016-09-01,$0.10,1.39%,n/a,0.12,2378,14.32%,$80.60,$80.83,n/a,n/a,56,1.50%,35%,15%,1099,A,A,A-,A,C+,A,A
CSJ,iShares 1-3 Year Credit Bond ETF,105.73,11392195.2,385802,1.31%,No,No,0.00%,-0.05%,1.26%,3.24%,7.71%,Corporate Bonds,2007-01-05,0.20%,TD Ameritrade,$0.70,2016-06-01,$0.13,0.66%,n/a,-0.08,1058,5.17%,$105.61,$105.90,n/a,n/a,46,1.02%,35%,15%,1099,A,B,B+,A,C+,A,A-
MBG,SPDR Barclays Capital Mortgage Backed Bond ETF,27.17,243900,28152,2.05%,No,No,0.26%,0.47%,2.20%,10.13%,10.77%,Mortgage Backed Securities,2009-01-15,0.20%,Not Available,$0.48,2016-09-01,$0.07,1.77%,n/a,0.23,385,11.33%,$27.03,$27.18,n/a,n/a,56,3.04%,35%,15%,1099,A-,B-,B,A+,A+,B-,A-
IWM,iShares Russell 2000 ETF,124.81,29894684.8,25853041,11.76%,No,No,2.42%,1.42%,11.97%,22.15%,108.61%,Small Cap Blend Equities,2000-05-22,0.20%,Not Available,$1.77,2016-07-06,$0.62,1.41%,19.33,1.37,1987,2.34%,$120.44,$125.99,$124.45,$125.52,57,16.81%,35%,15%,1099,A+,B+,C,C+,B,A,B+
IJR,iShares Core S&P Small-Cap ETF,124.87,21119712,1009002,14.18%,No,No,2.58%,1.10%,16.11%,30.50%,128.79%,Small Cap Blend Equities,2000-05-22,0.17%,2 Platforms,$1.63,2016-06-21,$0.36,1.30%,21.58,1.31,605,5.11%,$120.45,$126.42,n/a,n/a,57,16.58%,35%,15%,1099,A,A-,B+,B+,B+,B+,A-
EES,WisdomTree SmallCap Earnings Fund,84.86,396877.5,9688,12.58%,No,No,2.57%,0.87%,14.16%,18.79%,110.13%,Small Cap Value Equities,2007-02-23,0.38%,E*TRADE,$1.01,2016-06-20,$0.30,1.18%,14.37,1.19,861,9.96%,$81.94,$85.92,$84.68,$85.16,57,17.18%,35%,15%,1099,B+,C+,B+,B,B,A-,B
FDM,First Trust Dow Jones Select MicroCap Index Fund,36.55,49647.2,4531,12.34%,No,No,2.16%,2.18%,16.09%,31.66%,129.84%,Small Cap Blend Equities,2005-09-27,0.60%,Not Available,$0.60,2016-09-21,$0.14,1.63%,15.42,0.99,280,10.69%,$35.34,$36.68,n/a,n/a,62,14.37%,35%,15%,1099,B+,B-,A-,B-,A,B-,B+
RWJ,Oppenheimer Small Cap Revenue ETF,59.13,323704.2,21405,14.77%,No,No,2.64%,0.96%,15.24%,24.64%,129.50%,Small Cap Blend Equities,2008-02-22,0.54%,Not Available,$0.38,2016-07-05,$0.05,0.64%,20.27,1.39,602,12.79%,$57.00,$59.90,n/a,n/a,55,18.53%,35%,15%,1099,B,B-,A+,B,B,B,B+
VB,Vanguard Small-Cap ETF,122.18,14209334.4,648335,11.56%,No,No,2.26%,0.63%,12.09%,25.53%,115.82%,Small Cap Blend Equities,2004-01-26,0.09%,2 Platforms,$1.81,2016-09-20,$0.57,1.47%,31.40,1.31,1470,2.90%,$118.43,$124.11,$121.86,$122.83,55,15.72%,35%,15%,1099,A,A,A-,A,A+,A-,A
FYX,First Trust Small Cap Core AlphaDEX Fund,49.77,450990,45242,13.25%,No,No,2.43%,0.84%,12.17%,16.50%,103.55%,Small Cap Blend Equities,2007-05-08,0.67%,Not Available,$0.38,2016-09-21,$0.09,0.77%,18.83,1.37,526,3.99%,$48.07,$50.38,n/a,n/a,56,17.08%,35%,15%,1099,A-,C,A,C+,C+,B-,B-
JKJ,iShares Morningstar Small-Cap ETF,145.95,212483,4915,14.54%,No,No,2.56%,0.08%,14.40%,27.44%,112.89%,Small Cap Blend Equities,2004-06-28,0.25%,Not Available,$2.22,2016-06-21,$0.69,1.52%,20.08,1.18,261,7.48%,$141.05,$148.72,$145.81,$146.12,56,16.18%,35%,15%,1099,C+,B+,B-,A-,B-,C+,B-
IWC,iShares Micro-Cap ETF,78.18,774801.1,44360,9.22%,No,No,2.60%,3.04%,8.12%,19.24%,112.43%,Small Cap Blend Equities,2005-08-12,0.60%,Fidelity,$1.08,2016-07-06,$0.31,1.37%,15.56,1.35,1385,2.91%,$74.79,$78.32,n/a,n/a,61,16.63%,35%,15%,1099,A-,C+,C+,B+,B+,A-,B
PRFZ,PowerShares FTSE RAFI US 1500 Small-Mid Portfolio ETF,104.92,1480360,28326,12.51%,No,No,2.29%,0.38%,13.48%,21.82%,113.15%,Small Cap Blend Equities,2006-09-20,0.39%,Not Available,$1.17,2016-09-16,$0.27,1.10%,38.90,1.40,1456,2.98%,$101.51,$106.97,$104.65,$105.43,55,17.61%,35%,15%,1099,B+,B,A,B,B,A-,B+
DES,WisdomTree SmallCap Dividend Fund,75.61,1623454,107120,18.71%,No,No,2.77%,1.10%,21.94%,31.91%,126.53%,Small Cap Value Equities,2006-06-16,0.38%,E*TRADE,$2.19,2016-08-22,$0.16,2.87%,20.40,1.40,696,10.22%,$72.70,$76.66,n/a,n/a,56,15.57%,35%,15%,1099,A-,B-,B-,A,A+,B+,A-
PZI,PowerShares Zacks Micro Cap Portfolio ETF,16.94,22977,5145,11.12%,No,No,3.23%,2.47%,14.86%,15.10%,108.81%,Small Cap Blend Equities,2005-08-18,0.91%,Not Available,$0.28,2016-09-16,$0.10,1.63%,25.13,1.13,400,3.84%,$16.31,$17.01,$16.92,$16.97,61,14.90%,35%,15%,1099,B,C,A,B-,A-,B-,B
SAA,Ultra SmallCap600 ETF,66.89,21931,963,24.34%,No,2x,6.56%,3.42%,29.11%,52.97%,322.62%,Leveraged Equities,2007-01-23,0.95%,Not Available,$0.05,2016-03-23,$0.06,0.08%,20.37,2.67,610,126.17%,$61.58,$68.29,n/a,n/a,60,32.78%,35%,15%,1099,C,C,B-,A,n/a,n/a,B
UWM,Ultra Russell2000 ETF,95.29,178895,130206,20.62%,No,2x,4.84%,2.61%,19.51%,32.29%,248.48%,Leveraged Equities,2007-01-23,1.00%,Not Available,$0.25,2016-09-21,$0.05,0.26%,19.23,2.79,1993,123.89%,$88.76,$97.28,$94.75,$96.36,57,34.30%,35%,15%,1099,A-,C,B-,A,n/a,n/a,A-
TNA,Direxion Daily Small Cap Bull 3x Shares ETF,80.53,671070.9,3979577,26.76%,No,3x,7.29%,3.52%,22.83%,32.75%,389.68%,Leveraged Equities,2008-11-05,0.95%,Not Available,n/a,2014-12-11,$0.48,0.78%,18.53,4.14,17,319.15%,$72.48,$83.28,$79.84,$81.89,57,50.74%,35%,15%,1099,A,C,C,B,n/a,n/a,B
JKK,iShares Morningstar Small-Cap Growth ETF,144.96,116512,3615,7.98%,No,No,1.94%,1.03%,9.67%,19.17%,103.76%,Small Cap Growth Equities,2004-06-28,0.30%,Not Available,$0.85,2016-06-21,$0.26,0.58%,31.88,1.23,257,8.07%,$140.85,$146.37,n/a,n/a,56,15.89%,35%,15%,1099,C+,B,B,A-,B,B-,B
RZG,Guggenheim S&P SmallCap 600 Pure Growth ETF,89.70,176416.5,9211,11.70%,No,No,2.23%,2.34%,7.25%,28.41%,115.10%,Small Cap Growth Equities,2006-03-01,0.35%,Charles Schwab,$0.72,2016-09-16,$0.13,0.79%,21.69,1.30,144,14.77%,$86.25,$90.20,n/a,n/a,59,16.85%,35%,15%,1099,A-,B,A,C+,C+,C,B-
IWO,iShares Russell 2000 Growth ETF,150.07,6699488.8,807138,8.33%,No,No,2.44%,2.01%,7.67%,22.58%,112.40%,Small Cap Growth Equities,2000-07-24,0.25%,TD Ameritrade,$1.36,2016-07-06,$0.46,0.90%,26.90,1.39,1167,4.25%,$144.45,$151.03,$149.60,$151.00,58,17.39%,35%,15%,1099,A+,B+,A-,C,A-,A,A-
IJT,iShares S&P Small-Cap 600 Growth ETF,138.59,3513888,97337,12.15%,No,No,2.45%,1.62%,13.33%,32.23%,125.81%,Small Cap Growth Equities,2000-07-24,0.25%,Fidelity,$1.54,2016-06-21,$0.30,1.10%,24.02,1.24,350,9.85%,$133.66,$139.77,n/a,n/a,58,16.21%,35%,15%,1099,A,B+,A+,B+,A-,B+,A
VBK,Vanguard Small-Cap Growth ETF,132.47,4947284.8,165183,9.80%,No,No,2.32%,1.20%,9.41%,19.38%,105.89%,Small Cap Growth Equities,2004-01-26,0.09%,3 Platforms,$1.28,2016-09-20,$0.31,0.96%,44.40,1.31,704,5.57%,$128.18,$133.93,$132.16,$133.06,56,15.86%,35%,15%,1099,A,A+,B+,A,A,A,A+
IJS,iShares S&P Small-Cap 600 Value ETF,124.90,4089475.2,198580,16.27%,No,No,2.71%,0.54%,18.93%,27.87%,129.81%,Small Cap Value Equities,2000-07-24,0.25%,2 Platforms,$1.63,2016-06-21,$0.38,1.29%,19.29,1.41,460,8.18%,$120.36,$126.98,n/a,n/a,55,16.90%,35%,15%,1099,A,A-,A-,B+,B+,B,A
IWN,iShares Russell 2000 Value ETF,104.96,6949796.8,1687646,15.36%,No,No,2.65%,0.91%,16.43%,21.12%,104.59%,Small Cap Value Equities,2000-07-24,0.25%,TD Ameritrade,$1.98,2016-07-06,$0.59,1.87%,15.22,1.39,1356,4.25%,$101.28,$106.41,$104.69,$105.49,56,16.69%,35%,15%,1099,A+,A-,C,B-,A-,A,A-
VBR,Vanguard Small-Cap Value ETF,110.25,8241302.4,328591,13.05%,No,No,2.16%,0.25%,14.37%,30.96%,123.38%,Small Cap Value Equities,2004-01-26,0.09%,2 Platforms,$2.09,2016-09-20,$0.66,1.88%,25.20,1.33,855,5.07%,$106.96,$112.45,n/a,n/a,53,15.93%,35%,15%,1099,A,A+,B,A,A,A,A+
JKL,iShares Morningstar Small-Cap Value ETF,129.49,397933.5,9748,14.07%,No,No,2.55%,0.29%,15.80%,26.58%,115.71%,Small Cap Value Equities,2004-06-28,0.30%,Not Available,$3.00,2016-06-21,$0.68,2.30%,15.11,1.40,248,8.45%,$125.12,$132.14,n/a,n/a,54,17.42%,35%,15%,1099,B,B+,C+,A-,A-,C+,B-
RZV,Guggenheim S&P SmallCap 600 Pure Value ETF,61.41,173544,10100,12.61%,No,No,2.85%,-0.13%,12.37%,13.35%,112.13%,Small Cap Value Equities,2006-03-01,0.35%,Charles Schwab,$0.40,2016-09-16,$0.11,0.65%,12.88,1.70,151,16.02%,$59.06,$62.95,$61.14,$61.94,53,23.57%,35%,15%,1099,B+,B,A+,C,C+,C,C+
PSJ,PowerShares Dynamic Software Portfolio ETF,48.60,80503.5,5515,14.98%,No,No,2.66%,1.80%,17.42%,46.33%,127.51%,Technology Equities,2005-06-23,0.63%,Not Available,n/a,2015-06-19,$0.06,0.15%,22.59,1.25,41,45.47%,$46.88,$48.97,$48.53,$48.74,58,16.33%,35%,15%,1099,B-,B-,B-,A-,C,C+,C+
PXQ,PowerShares Dynamic Networking Portfolio ETF,39.92,20130,2584,15.91%,No,No,2.36%,5.36%,18.13%,29.99%,90.97%,Technology Equities,2005-06-23,0.63%,Not Available,$0.18,2016-06-17,$0.18,0.44%,16.95,1.34,31,45.34%,$37.37,$40.16,$39.83,$40.02,66,17.60%,35%,15%,1099,B-,B-,B-,B,C+,B-,C+
IGV,iShares North American Tech-Software ETF,112.98,700669.5,219645,9.73%,No,No,1.73%,0.15%,17.67%,47.64%,122.88%,Technology Equities,2001-07-10,0.47%,Not Available,$0.93,2016-06-21,$0.06,0.82%,30.91,1.18,60,58.32%,$110.21,$114.54,$112.60,$113.66,55,16.57%,35%,15%,1099,A-,B+,B,A-,C+,B+,B+
XLK,Technology Select Sector SPDR Fund,47.49,13017103.2,9418519,12.44%,No,No,0.59%,1.35%,21.36%,54.82%,119.10%,Technology Equities,1998-12-16,0.14%,Not Available,$0.84,2016-09-16,$0.20,1.76%,17.51,1.08,74,60.35%,$46.24,$47.84,$47.30,$47.79,58,13.39%,35%,15%,1099,A+,A,C+,A+,A-,B+,A
XSD,SPDR S&P Semiconductor ETF,51.53,239476,121095,18.57%,No,No,0.92%,0.53%,40.41%,81.76%,138.85%,Technology Equities,2006-01-31,0.35%,Not Available,$0.31,2016-09-16,$0.09,0.60%,18.82,1.69,40,34.39%,$49.43,$52.72,$51.34,$51.90,57,23.96%,35%,15%,1099,A-,A-,A-,C,B-,B,B
IYW,iShares U.S. Technology ETF,118.47,2832861,250343,11.43%,No,No,0.47%,1.51%,19.55%,54.29%,108.71%,Technology Equities,2000-05-15,0.43%,Not Available,$1.37,2016-06-21,$0.31,1.15%,20.92,1.09,141,66.05%,$115.01,$119.43,$118.02,$119.12,59,14.70%,35%,15%,1099,A,A-,C,A,B+,A,A-
VGT,Vanguard Information Technology ETF,119.44,9884144,409391,11.45%,No,No,0.78%,1.65%,19.84%,53.74%,122.34%,Technology Equities,2004-01-26,0.14%,Vanguard,$1.56,2016-09-20,$0.40,1.30%,24.90,1.07,382,54.49%,$115.96,$120.27,$119.00,$120.09,59,14.51%,35%,15%,1099,A,A,B-,A,A-,A+,A+
QTEC,First Trust NASDAQ-100-Technology Sector Index Fund,50.10,341077.5,47006,19.01%,No,No,0.90%,1.66%,30.05%,59.87%,139.06%,Technology Equities,2006-04-19,0.60%,Not Available,$0.70,2016-09-21,$0.08,1.38%,23.40,1.30,37,32.21%,$48.45,$50.51,$49.93,$50.44,62,18.47%,35%,15%,1099,B+,B,B,A-,B+,B,B+
IGM,iShares North American Tech ETF,122.66,963456,39114,11.44%,No,No,1.03%,2.01%,21.86%,56.06%,128.39%,Technology Equities,2001-03-13,0.47%,Not Available,$1.07,2016-06-21,$0.31,0.87%,24.21,0.99,273,51.23%,$119.09,$123.31,$122.33,$123.14,60,14.28%,35%,15%,1099,B+,B+,B,A,B+,A,A-
MTK,SPDR Morgan Stanley Technology ETF,59.21,546072,15200,10.19%,No,No,0.66%,0.74%,20.22%,47.80%,121.97%,Technology Equities,2000-09-25,0.35%,Not Available,$0.50,2016-09-16,$0.13,0.84%,20.49,1.08,37,32.55%,$57.97,$59.66,$59.08,$59.42,58,15.90%,35%,15%,1099,C+,A-,B+,A-,B-,B-,B
FDN,First Trust Dow Jones Internet Index Fund,80.59,3660692.8,525420,8.02%,No,No,1.52%,2.14%,18.03%,49.24%,168.08%,Technology Equities,2006-06-19,0.57%,Not Available,n/a,2011-12-21,$0.01,0.03%,36.69,1.01,41,56.32%,$78.08,$80.69,$80.41,$80.86,62,15.39%,35%,15%,1099,A,B,A+,B+,C,B,B+
PTF,PowerShares DWA Technology Momentum Portfolio ETF,41.07,163293,13725,3.48%,No,No,1.91%,1.43%,4.64%,26.74%,100.15%,Technology Equities,2006-10-12,0.60%,Not Available,n/a,2014-12-19,$0.26,0.65%,24.00,1.26,45,41.84%,$39.48,$41.46,n/a,n/a,58,16.80%,35%,15%,1099,B-,B,B+,B+,B,B+,B
